OID_,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT95
171,070802050502,171,84786.000000000000000,76307400.000000000000000,11,95,84,78.970773476753095,13.020727818367295,6695616.000000000000000,14,82,42,82,82
172,070801060604,172,134278.000000000000000,120850200.000000000000000,11,95,84,76.621010143135990,16.314727768862490,10288516.000000000000000,15,82,42,82,90
173,070801051204,173,119106.000000000000000,107195400.000000000000000,11,95,84,72.475727503234125,20.063492221361333,8632294.000000000000000,15,82,42,82,90
174,070801060601,174,103976.000000000000000,93578400.000000000000000,11,95,84,74.872518658152003,17.544809917239455,7784945.000000000000000,15,82,31,82,90
175,070600010901,175,117150.000000000000000,105435000.000000000000000,11,95,84,75.736790439607645,16.239847856862692,8872565.000000000000000,15,82,90,82,82
176,070600040309,176,143669.000000000000000,129302100.000000000000000,11,95,84,72.164398722062231,19.475855302435964,10367787.000000000000000,15,82,52,82,82
177,101702032101,177,144473.000000000000000,130025700.000000000000000,11,95,84,77.918746063276885,15.023494220157373,11257155.000000000000000,13,82,43,82,82
178,102300031104,178,57705.000000000000000,51934500.000000000000000,11,95,84,77.869474049042225,15.025217446666167,4493458.000000000000000,14,82,52,82,82
179,070600010905,179,171996.000000000000000,154796400.000000000000000,11,95,84,69.653416358520815,20.145543706878804,11980109.000000000000000,15,82,42,82,82
180,070802020304,180,148503.000000000000000,133652700.000000000000000,11,95,84,74.499181834710811,19.067454413892239,11063352.000000000000000,15,82,52,82,82
181,071000060702,181,124359.000000000000000,111923100.000000000000000,11,95,84,79.316245707990362,12.320748362782677,9863689.000000000000000,14,82,11,82,82
182,070802070905,182,111470.000000000000000,100323000.000000000000000,11,95,84,75.800493406298173,18.056111561841700,8449481.000000000000000,15,82,52,82,90
183,102802010203,183,110028.000000000000000,99025200.000000000000000,11,95,84,74.794188751953001,17.669147954500762,8229455.000000000000000,15,82,24,81,82
184,102802010208,184,119019.000000000000000,107117100.000000000000000,11,95,84,64.320621077306029,26.185339623325042,7655376.000000000000000,15,81,24,81,82
185,070600040802,185,66872.000000000000000,60184800.000000000000000,11,95,84,63.048645172867381,21.449452859052109,4216189.000000000000000,15,41,11,81,82
186,102300031102,186,72602.000000000000000,65341800.000000000000000,11,95,84,78.778325665959528,14.234037097350827,5719464.000000000000000,14,82,52,82,90
187,102300020403,187,54860.000000000000000,49374000.000000000000000,21,95,74,78.711903025883785,13.636755266232022,4318135.000000000000000,12,82,41,82,82
188,070802020503,188,141976.000000000000000,127778400.000000000000000,21,95,74,77.834408632444223,14.207568273476053,11050618.000000000000000,14,82,42,82,82
189,071000061703,189,146537.000000000000000,131883300.000000000000000,11,95,84,41.279089922681266,27.651258869577305,6048914.000000000000000,15,22,52,23,90
190,070801051202,190,132863.000000000000000,119576700.000000000000000,11,95,84,76.706208651016311,16.142917042454247,10191417.000000000000000,15,82,31,82,82
191,071000081403,191,91083.000000000000000,81974700.000000000000000,11,95,84,68.036472228626096,20.700832734685068,6196966.000000000000000,15,82,31,81,82
192,071000080804,192,103604.000000000000000,93243600.000000000000000,11,95,84,65.815634531485756,21.498803199389577,6818763.000000000000000,15,82,24,81,82
193,102300020406,193,137618.000000000000000,123856200.000000000000000,11,95,84,77.620202299119214,15.526280453282226,10681937.000000000000000,13,82,52,82,82
194,070600040204,194,105718.000000000000000,95146200.000000000000000,11,95,84,72.729421668967902,18.629539831047438,7688809.000000000000000,14,82,52,82,82
195,102300010605,195,146126.000000000000000,131513400.000000000000000,11,95,84,67.279423237479435,20.252938396495299,9831273.000000000000000,15,82,31,82,82
